keyword,definition,merged
ERUPTION DYNAMICS,"Pertaining to the processes involved in the extrusion of magma at the Earth'ssurface, these can include: eruption induced seismic activity, lahars, ashflows/clouds, etc.","Label: ERUPTION DYNAMICS
Definition: Pertaining to the processes involved in the extrusion of magma at the Earth'ssurface, these can include: eruption induced seismic activity, lahars, ashflows/clouds, etc."
VOLCANIC ACTIVITY,Describes characteristics of volcanoes: a mountain formed by the accumulation of magma extruded through openings or volcanic vents.,"Label: VOLCANIC ACTIVITY
Definition: Describes characteristics of volcanoes: a mountain formed by the accumulation of magma extruded through openings or volcanic vents."
LAVA COMPOSITION/TEXTURE,The composition and texture of molten rock outside of the Earth's crust.,"Label: LAVA COMPOSITION/TEXTURE
Definition: The composition and texture of molten rock outside of the Earth's crust."
ASH/DUST COMPOSITION,The matter and/or chemicals which constitutes ash/dust.,"Label: ASH/DUST COMPOSITION
Definition: The matter and/or chemicals which constitutes ash/dust."
GAS/AEROSOL COMPOSITION,The matter and/or chemicals which constitutes gas/aerosol.,"Label: GAS/AEROSOL COMPOSITION
Definition: The matter and/or chemicals which constitutes gas/aerosol."
MAGMA COMPOSITION/TEXTURE,The composition and texture of molten rock in the earth's crust.,"Label: MAGMA COMPOSITION/TEXTURE
Definition: The composition and texture of molten rock in the earth's crust."
PYROCLASTIC PARTICAL SIZE DISTRIBUTION,"Refers to the distribution and size of the pyroclastic elements when they are erupted from a volcano. In moving pyroclastic systems, particles are sorted as a function of their sizes, densities and shapes. The analysis of the distribution of these characteristics in particle populations of pyroclastic deposits is a major tool in evaluating properties and regimes of parent transport systems.","Label: PYROCLASTIC PARTICAL SIZE DISTRIBUTION
Definition: Refers to the distribution and size of the pyroclastic elements when they are erupted from a volcano. In moving pyroclastic systems, particles are sorted as a function of their sizes, densities and shapes. The analysis of the distribution of these characteristics in particle populations of pyroclastic deposits is a major tool in evaluating properties and regimes of parent transport systems."
VOLCANIC GASES,"Pertaining to the composition, extent, velocity, and damage caused by gasesemitted during a volcanic eruption.","Label: VOLCANIC GASES
Definition: Pertaining to the composition, extent, velocity, and damage caused by gasesemitted during a volcanic eruption."
ASH/DUST DISPERSION,The spread of ash/dust.,"Label: ASH/DUST DISPERSION
Definition: The spread of ash/dust."
INDIGENOUS VEGETATION,"Indigenous Vegetation or native vegetation is applied to a species thatoccurs naturally in an area, and therefore, one that has not beenintroduced by humans accidentally or intentionally.","Label: INDIGENOUS VEGETATION
Definition: Indigenous Vegetation or native vegetation is applied to a species thatoccurs naturally in an area, and therefore, one that has not beenintroduced by humans accidentally or intentionally."
HAPTOPHYTES,"Haptophytes are a clade of heterokont algae with smooth flagella. Haptophytes are typically eukaryotic, with a central nucleus and are characterized with a haptonema organelle.","Label: HAPTOPHYTES
Definition: Haptophytes are a clade of heterokont algae with smooth flagella. Haptophytes are typically eukaryotic, with a central nucleus and are characterized with a haptonema organelle."
LAND RECORDS,"Non-marine geological information pertinent to paleoclimatology consists of allcontinental sedimentary records including loess,volcanic deposits, glaciation,spelothems, tree ring, pollen, and other land-based records.","Label: LAND RECORDS
Definition: Non-marine geological information pertinent to paleoclimatology consists of allcontinental sedimentary records including loess,volcanic deposits, glaciation,spelothems, tree ring, pollen, and other land-based records."
GLACIER TERMINUS,"The terminus is the end of a glacier, usually the lowest end, and is also often called a glacier toe or snout.","Label: GLACIER TERMINUS
Definition: The terminus is the end of a glacier, usually the lowest end, and is also often called a glacier toe or snout."
GLACIER REFREEZE,Mass gained by a glacier due to refreezing.,"Label: GLACIER REFREEZE
Definition: Mass gained by a glacier due to refreezing."
GLACIER MELT,Mass lost by a glacier due to melting.,"Label: GLACIER MELT
Definition: Mass lost by a glacier due to melting."
GROUNDING LINE,"Marks the locations where said glaciers become anchored on bedrock (i.e., the estimated coastline underneath the ice).","Label: GROUNDING LINE
Definition: Marks the locations where said glaciers become anchored on bedrock (i.e., the estimated coastline underneath the ice)."
ICE STUPA,"Ice Stupa is a form of glacier grafting technique that creates artificial glaciers, used for storing winter water (which otherwise would go unused) in the form of conical shaped ice heaps. During summer, when water is scarce, the Ice Stupa melts to increase water supply for crops.","Label: ICE STUPA
Definition: Ice Stupa is a form of glacier grafting technique that creates artificial glaciers, used for storing winter water (which otherwise would go unused) in the form of conical shaped ice heaps. During summer, when water is scarce, the Ice Stupa melts to increase water supply for crops."
GLACIER EXTENT,"Glacier extent is a glacier outline in horizontal space separating the glacier from unglacierized terrain or, at divides, from contiguous glaciers.","Label: GLACIER EXTENT
Definition: Glacier extent is a glacier outline in horizontal space separating the glacier from unglacierized terrain or, at divides, from contiguous glaciers."
